,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,Product Code,Product Name,Quantity
,,,WAC-301,CG Yellow XXX Paste Wax Jar (8oz),0
,,,CG-BLUE-APP,CG Blue Applicator,0
,,,ACC-130,CG Spray Bottles Professional Chemical Resistant Heavy Duty (32oz),1
,,,WAC_201_16,CG Vintage-Butter Wet Wax (16 oz),0
,,,WAC21016,CG Extream Top Coat Carnauba Wax And Sealant (16 oz),1
,,,CLD_201_16,CG Orange Degreaser Plus (16oz) Ratio Upto 1:15,1
,,,CLD_101_16,CG Citrus New All Purpose Cleaner (16oz) Ratio upto 1:20,0
,,,CLD_101,CG Citrus New All Purpose Cleaner (1 Gal) Ratio upto 1:20,1
,,,TVD11516,"CG Trim Clean Wax and Oil Remover For Trim, Tires & Rubber",1
,,,CWS_201_16,CG Microfiber Wash Cleaning Detergent (16oz),1
,,,CWS_201,CG Heavy Duty Water Spot Remover (16oz),1
,,,TVD_109_16,CG Silk Shine Dressing (16oz),1
,,,TVD_104_16,CG Bare Bones Undercarriage Spray (16oz),0
,,,SPI_216_16,CG Leather Quick Detailer (16oz),0
,,,SPI_401_16,CG Vintage Leather Conditioner (16 oz),0
,,,AIR_401,CG Vent Clip Air Freshener - Black Frost,1
,,,AIR_069_04,CG Signature Scent Air Freshener And Odor Eliminator (4oz),0
,,,AIR_224_04,CG Black Frost Air Freshener And Odor Eliminator (4oz),0
,,,AIR_229_04,CG Pina Colada Scent Air Freshener And Odor Eliminator (4oz),1
,,,AIR_404,CG Hanging Air Freshener 3 Pack Variety,1
,,,AIR_102_16,CG Leather Scent Air Freshener And Odor Eliminator (16oz),1
,,,AIR_224_16,CG Black Frost Air Freshener And Odor Eliminator (16oz),0
,,,AIR_101_16,CG New Car Scent Air Freshener And Odor Eliminator (16oz),1
,,,AIR_231_16,CG Vanilla Bean Scent Air Freshener And Odor Eliminator (16oz),1
,,,AIR_228_16,CG Fresh Cherry Blast Air Freshener And Odor Eliminator (16oz),1
,,,AIR_229_16,CG Pina Colada Scent Air Freshener And Odor Eliminator (16oz),1
,,,AIR_220_16,CG Honeydew Cantaloupe Scent Air Freshener And Odor Eliminator (16oz),1
,,,,CG Mangocello Mango Lemon Fusion Scent Air Freshener And Odor Eliminator (4oz),1
,,,AIR_226_16,CG Mangocello Mango Lemon Fusion Scent Air Freshener And Odor Eliminator (16oz),1
,,,MIC10203,"CG Ultra Fine Microfiber Towel, Blue 15"" x 15"" Pack of 3",1
,,,MIC_402,CG Waterproof 4 In 1 Microfiber Premium Wash Mitt,1
,,,ACC-139,CG Dillution Bottle With Spout Cap (16oz),2
,,,ACC-138,CG Dillution Bottle With Sparyer (16oz),0
,,,NA-CSS16,NS Cherry Suds Wash & Shine Shampoo 1:127 (16oz),3
,,,,"NS Traditional Blue Edgeless Microfiber Towel (Blue 16"" * 16"")",10
,,,NA-WAT16,NS WATERLESS Wash ~ 4:1 / Spray Wax RTU,0
,,,NA-QSE16,NS Quick Shine Quick Detailer Spray RTU (16oz),0
,,,NA-CCR16,NS Crystal-Clear VOC Free Glass Cleaner (16oz),1
,,,NA-AFR32_BIE,NS Air Freshener 9:1 Concentration - Black Ice (32oz),0
,,,NA-BDS16,NS Blue Dress Premium Dressing Silicone (16oz) upto 1:5,1
,,,85-590,"NS 6"" Horsehair Brush",1
,,,,"NS Angled Head Bristles Brush Salt & Pepper 20""",1
,,,DS50,CP Descale Shampoo (500ml),0
,,,30,CP Reset Car Shampoo (500ml) ( 1:500 Ratio ),1
,,,MX50,CP Multi.X Cleaner (500ml),1
,,,,CP Iron X Cherry (500ml),0
,,,17991,CP Eraser (1L),1
,,,UC1L,CP Ultra Cut Compound (1kg) p800 Grit Cut,0
,,,CC1L,CP Clear Cut Polish Compound (1kg) p1000 Grit Cut,1
,,,ES1L,CP Essence SiO2 Based Polish & Primer (1L),0
,,,esp25,CP Essence Plus SiO2 Based Jeweling Coat (250ml),0
,,,127,CP CeriGlass Polish 500ml,2
,,,131,CP PERL Coating (500ml) Ratio (Upto 1:10) Water Based SiO2 Multi Use Dressing,0
,,,EL50,CP Elixer Quick Detailer Spray (500ml),0
,,,DH70,CP Dhydrate Drying Towel 28x40 Inches,1
,,,5501,CP Flash Cutting Pad Pad 5.5 Inch,1
,,,MS-DD2,MS Wool Duster (Large),4
,,,534BN,"BNS Uro-Tec Yellow Polishing Foam Pad (5"")",0
,,,592BN,"BNS Uro-Tec White Finishing Foam Pad (5"")",1
,,,520BN,"BNS Uro-Tec Black Finishing Foam Pad (5"")",1
,,,10CQL15,CP C.Quartz Lite (100ml) {9 Months + Life},1
,,,10cqk100,CP C. Quartz UK 3.0 (100ml) {2 Years + Life},1
,,,DL5,CP Dlight Anti UV Coating (50ml) {3 Years + Life},1

,,,,63,57
