Product Code,Item Description,Retail Price,Qty
TVD_109_16,CG Silk Shine Dressing,4000,2
TVD_104_16,CG Bare Bones Undercarriage Spray,4200,2
SPI_216_16,CG Leather Quick Detailer,4300,2
SPI_401_16,CG Vintage Leather Conditioner,6800,2
ACC-118,CG Dilution Bottle With Sprayer,1300,6
,CG Blue Applicator,700,10
WAC_101,CG Yellow XXX Paste wax Jar,7500,5
GAP_618_16,CG Glossworkz Glaze,10500,2
NA-CS516,NS Cherry Suds Wash & Shine Shampoo 1:127,1600,4
NA-WAT16,NS WATERLESS Wash 4:1/Spray Wax RTU,2200,1
NA-QSE16,NS Quick Shine Quick Detailer Spray RTU,2000,1
NA-CCR16,NS Crystal-Clear VDC Free Glass Cleaner,3000,2
NA-AFR32-BIE,NS Air Freshner 9:1 Conc-BLACK ICE,8300,1
DS50,CP Descale Shampoo,4800,2
30,CP Reset Car Shampoo (1:500 Ratio),4200,6
CP-IRONX-CHERRY,CP Iron X Cherry,4200,1
UC1L,CP Ultra Cut Compound (800 Grit Cut),13000,1
ES1L,CP Essence SiO2 Based Polish & Primer,16000,1
esp25,CP Essence Plus SiO2 Based Jeweling Coat,5600,1
131,CP PERL Coating (Ratio (Upto 1:10) Water Based SiO2 Multi Use Dressing),4400,4
10cquk100,CP C. Quartz UK 3.0 (2 Years),36000,1
534BN,BNS Uro-Tec Yellow Polishing Foam Pad,3350,4
