Product Code,Item Description,Trade Price,Qty
AIR_069_16,CG Signature Scent Air Freshener And Odor Eliminator (16oz),3800,1
CLD_101,CG Citrus New All Purpose Cleaner (1 Gal) Ratio upto 1:20,13500,1
CG-BLUE-APP,CG Blue Applicator,700,10
SPI_401_16,CG Vintage Leather Conditioner (16 oz),6800,1
ACC-138,CG Dillution Bottle With Sparyer (16oz),1300,5
CP_IRONX-CHERRY,CP Iron X Cherry (500ml),4200,1
CC1L,CP Clear Cut Polish Compound (1kg) p1000 Grit Cut,12500,1
534BN,"BNS Uro-Tec Yellow Polishing Foam Pad (5"")",3350,3
85-590,"NS 6"" Horsehair Brush",3800,1
10CQL15,CP C.Quartz Lite Bottle (100ml) (9 Months + Life),11800,1
122R,CP Reflect Super Fine Polish (1L)-Loose,10500,1
,,,
Sources:,,,
https://drive.google.com/open?id=10Nhr9h96KXSv8HB3iuy1E_HZ_K6Dv-M-,,,
