
,Item Name,Product Code,Retail Price,Wholesale Price,Cost Price,Brand
Chemical Guys,,,,,,
,Glossworkz Glaze (16oz),GAP_618_16,"Rs	10,500","Rs	9,240","Rs	7,854",Chemical Guys
,Yellow XXX Paste Wax Jar,WAC-301,"Rs	7,500","Rs	6,600","Rs	5,610",Chemical Guys
,Vintage-Butter Wet Wax (16 oz),WAC_201_16,"Rs	8,500","Rs	7,480","Rs	6,358",Chemical Guys
,Extreme Top Coat Carnauba Wax And Sealant (16 oz),WAC21016,"Rs	8,000","Rs	7,040","Rs	5,984",Chemical Guys
,Orange Degreaser Plus (16oz)                Ratio Upto 1:15,CLD_201_16,"Rs	3,850","Rs	3,388","Rs	2,879",Chemical Guys
,Citrus New All Purpose Cleaner (16oz)              Ratio upto 1:20,CLD_101_16,"Rs	3,400","Rs	2,992","Rs	2,543",Chemical Guys
,Citrus New All Purpose Cleaner (1 Gal)             Ratio upto 1:20,CLD_101,"Rs	13,500","Rs	11,880","Rs	10,557",Chemical Guys
,"Trim Clean Wax and Oil Remover For Trim, Tires & Rubber",TVD11516,"Rs	4,200","Rs	3,696","Rs	3,141",Chemical Guys
,Microfiber Wash Cleaning Detergent (16oz),CWS_201_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Heavy Duty Water Spot Remover (16oz),CWS_201,"Rs	6,500","Rs	5,720","Rs	4,862",Chemical Guys
,Total Interior Cleaner & Protectant Wipes (50 Wipes),PMWSPI22050,"Rs	4,200","Rs	3,696","Rs	3,141",Chemical Guys
,Silk Shine Protectant (16oz),TVD_109_16,"Rs	4,000","Rs	3,520","Rs	2,992",Chemical Guys
,Bare Bones Undercarriage Spray (16oz),TVD_104_16,"Rs	4,200","Rs	3,696","Rs	3,141",Chemical Guys
,Leather Quick Detailer (16oz),SPI_216_16,"Rs	4,300","Rs	3,784","Rs	3,216",Chemical Guys
,Vintage Leather Conditioner (16 oz),SPI_401_16,"Rs	6,300","Rs	5,544","Rs	4,712",Chemical Guys
,Vent Clip Air Freshener - Black Frost,AIR_401,"Rs	1,950","Rs	1,716","Rs	1,459",Chemical Guys
,Vent Clip Air Freshener - Tropical Scent,AIR_402,"Rs	1,950","Rs	1,716","Rs	1,459",Chemical Guys
,Signature Scent Air Freshener And Odor Eliminator (4oz),AIR_069_04,"Rs	2,200","Rs	1,936","Rs	1,646",Chemical Guys
,Black Frost Air Freshener And Odor Eliminator (4oz),AIR_224_04,"Rs	2,200","Rs	1,936","Rs	1,646",Chemical Guys
,Pina Colada Scent Air Freshener And Odor Eliminator (4oz),AIR_229_04,"Rs	2,200","Rs	1,936","Rs	1,646",Chemical Guys
,Mangocello Mango Lemon Fusion Scent Air Freshener And Odor Eliminator (4oz),AIR_226_04,"Rs	2,200","Rs	1,936","Rs	1,646",Chemical Guys
,Hanging Air Freshener 3 Pack Variety,AIR_404,"Rs	2,500","Rs	2,200","Rs	1,870",Chemical Guys
,Leather Scent Air Freshener And Odor Eliminator (16oz),AIR_102_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Black Frost Air Freshener And Odor Eliminator (16oz),AIR_224_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,New Car Scent Air Freshener And Odor Eliminator (16oz),AIR_101_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Signature Scent Air Freshener And Odor Eliminator (16oz),AIR_069_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Vanilla Bean Scent Air Freshener And Odor Eliminator (16oz),AIR_231_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Purple Stuff Grape Soda Scent Air Freshener And Odor Eliminator (16oz),AIR_222_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Fresh Cherry Blast Air Freshener And Odor Eliminator (16oz),AIR_228_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Pina Colada Scent Air Freshener And Odor Eliminator (16oz),AIR_229_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Honeydew Cantaloupe Scent Air Freshener And Odor Eliminator (16oz),AIR_220_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Extreme Offensive Leather Scented Odor Eliminator (16oz),SPI22116,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Strawberry Margarita Air Freshener And Odor Eliminator (16oz),AIR_223_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Rides And Coffee Air Freshener And Odor Eliminator (16oz),AIR_236_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Mangocello Mango Lemon Fusion Scent Air Freshener And Odor Eliminator (16oz),AIR_226_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Zesty Lemon & Lime Air Freshener And Odor Eliminator (16oz),AIR_232_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Morning Wood Sandal Wood Scent Air Freshener And Odor Eliminator (16oz),AIR_230_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Happy Trail Outdoor Pine Scent Air Freshener And Odor Eliminator (16oz),AIR_254_16,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,"Ultra Fine Microfiber Towel, Blue 15"" x 15""                     Pack of 3",MIC10203,"Rs	2,500","Rs	2,200","Rs	1,870",Chemical Guys
,Waterproof 4 In 1 Microfiber Premium Wash Mitt,MIC_402,"Rs	2,800","Rs	2,464","Rs	2,094",Chemical Guys
,Dillution Bottle With Spout Cap (16oz),ACC-139,"Rs	1,000",Rs	880,Rs	748,Chemical Guys
,Dillution Bottle With Sprayer (16oz),ACC-138,"Rs	1,300","Rs	1,144",Rs	972,Chemical Guys
,Professional Interior Induro Brush,ACC-202,"Rs	3,500","Rs	3,080","Rs	2,618",Chemical Guys
,Blue Applicator,,Rs	700,Rs	616,Rs	524,Chemical Guys
,JDM Squash Scent Air Freshener and Odor Eliminator,,"Rs	3,800","Rs	3,344","Rs	2,842",Chemical Guys
,Spray Bottles Professional Chemical Resistant Heavy Duty (32oz),ACC-130,"Rs	3,000","Rs	2,640","Rs	2,244",Chemical Guys
Car Pro,,,,,,
,Coating Applicator - Orange,,Rs	650,Rs	520,Rs	442,Car Pro
,Suede Microfiber 10x10cm,52,Rs	350,Rs	308,Rs	262,Car Pro
,Ultra Cut Compound (1kg) p800 Grit Cut,UC1L,"Rs	13,000","Rs	12,740","Rs	10,829",Car Pro
,Clear Cut Polish Compound (1kg) p1000 Grit Cut,CC1L,"Rs	12,500","Rs	12,250","Rs	10,412",Car Pro
,Essence SiO2 Based Polish & Primer (1L),ES1L,"Rs	16,000","Rs	15,680","Rs	13,328",Car Pro
,Essence Plus SiO2 Based Jeweling Coat (250ml),esp25,"Rs	5,600","Rs	4,928","Rs	4,189",Car Pro
,CeriGlass Polish 500ml,127,"Rs	8,200","Rs	7,544","Rs	6,413",Car Pro
,PERL Coating (500ml) Ratio (Upto 1:10) Water Based SiO2 Multi Use Dressing,131,"Rs	4,400","Rs	3,872","Rs	3,291",Car Pro
,Elixer Quick Detailer Spray (500ml),EL50,"Rs	4,700","Rs	4,136","Rs	3,516",Car Pro
,Dhydrate Drying Towel 28x40 Inches,DH70,"Rs	8,300","Rs	7,304","Rs	6,208",Car Pro
,Dhydrate Drying Towel 28x40 Inches 1000 GSM,DHB,"Rs	9,300","Rs	8,184","Rs	6,956",Car Pro
,Flash Cutting Pad Pad 5.5 Inch,5501,"Rs	4,250","Rs	3,740","Rs	3,179",Car Pro
,C.Quartz Lite (100ml),10CQL15,"Rs	11,300","Rs	10,300","Rs	10,300",Car Pro
,Descale Shampoo (500ml),DS50,"Rs	4,800","Rs	4,224","Rs	3,590",Car Pro
,Reset Car Shampoo (500ml) (1:500 Ratio),30,"Rs	4,200","Rs	3,696","Rs	3,142",Car Pro
,Multi.X Cleaner (500mL),MX50,"Rs	3,200","Rs	2,816","Rs	2,394",Car Pro
,Iron X Cherry (500ml),,"Rs	4,200","Rs	3,696","Rs	3,142",Car Pro
,Eraser (1L),17991,"Rs	5,300","Rs	4,664","Rs	3,964",Car Pro
,C. Quartz UK 3.0 (100ml),10cqk100,"Rs	36,000","Rs	34,500","Rs	34,500",Car Pro
,Dlight Anti UV Coating (50ml),DL5,"Rs	30,000","Rs	29,000","Rs	29,000",Car Pro
Max Shine,,,,,,
